latitude,longitude,temperature_anomaly
49.0,-125.0,-6.57275390625
49.0,-124.75,-6.705780029296875
49.0,-124.5,-7.275054931640625
49.0,-124.25,-7.607177734375
49.0,-124.0,-8.403839111328125
49.0,-123.75,-5.630096435546875
49.0,-122.75,-6.710052490234375
49.0,-122.5,-7.276885986328125
49.0,-122.25,-5.697998046875
49.0,-122.0,-6.2042236328125
49.0,-121.75,-8.07928466796875
49.0,-121.5,-7.766754150390625
49.0,-121.25,-7.392333984375
49.0,-121.0,-6.295196533203125
49.0,-120.75,-7.529541015625
49.0,-120.5,-6.157379150390625
49.0,-120.25,-8.454254150390625
49.0,-120.0,-8.597564697265625
49.0,-119.75,-7.60498046875
49.0,-119.25,-6.87213134765625
49.0,-119.0,-5.303680419921875
49.0,-118.75,-5.45880126953125
49.0,-118.5,-5.428558349609375
49.0,-118.25,-6.61712646484375
49.0,-118.0,-6.6527099609375
49.0,-117.75,-5.43115234375
49.0,-117.5,-6.406890869140625
49.0,-117.25,-5.226043701171875
49.0,-117.0,-7.1270751953125
49.0,-116.75,-5.65606689453125
49.0,-116.25,-5.94732666015625
49.0,-116.0,-6.51806640625
49.0,-115.5,-6.106903076171875
49.0,-114.75,-6.489898681640625
49.0,-114.0,-6.199493408203125
49.0,-113.75,-6.906280517578125
49.0,-113.5,-7.961212158203125
49.0,-113.25,-7.71636962890625
49.0,-113.0,-8.000213623046875
49.0,-112.75,-7.361083984375
49.0,-112.5,-6.784637451171875
49.0,-112.25,-7.224609375
49.0,-112.0,-6.5047607421875
49.0,-111.75,-6.36883544921875
49.0,-111.5,-6.628662109375
49.0,-111.25,-5.807861328125
49.0,-111.0,-5.75830078125
49.0,-110.75,-5.49090576171875
49.0,-110.5,-5.128143310546875
49.0,-88.0,5.5877685546875
49.0,-87.75,5.05206298828125
49.0,-87.0,5.038818359375
49.0,-78.5,5.069549560546875
49.0,-78.25,5.11663818359375
49.0,-78.0,5.0894775390625
49.0,-77.75,5.333953857421875
49.0,-77.5,5.367034912109375
49.0,-77.25,5.519866943359375
49.0,-77.0,5.9091796875
49.0,-76.75,6.04925537109375
49.0,-76.5,6.0281982421875
49.0,-76.25,6.406585693359375
49.0,-76.0,6.334136962890625
49.0,-75.75,6.132476806640625
49.0,-75.5,6.0272216796875
49.0,-75.25,6.217987060546875
49.0,-75.0,6.29742431640625
49.0,-74.75,6.24139404296875
49.0,-74.5,6.340423583984375
49.0,-74.25,6.252777099609375
49.0,-74.0,6.6632080078125
49.0,-73.75,6.989288330078125
49.0,-73.5,6.87005615234375
49.0,-73.25,6.652313232421875
49.0,-73.0,6.262298583984375
49.0,-72.75,5.6849365234375
49.0,-72.5,5.67486572265625
49.0,-72.25,5.600677490234375
49.0,-72.0,5.583953857421875
49.0,-71.75,5.525177001953125
49.0,-71.5,5.691619873046875
49.0,-71.25,5.967559814453125
49.0,-71.0,6.940216064453125
49.0,-70.75,6.423919677734375
49.0,-70.5,6.309356689453125
49.0,-70.25,6.412872314453125
49.0,-70.0,5.969390869140625
49.0,-69.75,5.234527587890625
49.0,-69.5,5.0325927734375
49.0,-69.25,5.223785400390625
49.0,-68.5,5.61395263671875
49.0,-68.25,5.874542236328125
49.0,-68.0,5.412994384765625
49.0,-67.75,5.268890380859375
49.0,-67.5,5.26910400390625
49.0,-67.25,5.215301513671875
49.0,-67.0,5.55792236328125
